,audio_path,start,stop,skip,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
31,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_132_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
32,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_133_hp.WAV,DEFAULT,0.02947,DEFAULT,pwvd,-52,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
33,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_134_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
34,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_142_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
35,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_144_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-34,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
36,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_145_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
37,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_147_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,44,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
38,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_149_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,38,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
39,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_151_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
40,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_158_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-49,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
41,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_165_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
42,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_168_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
43,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_169_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
44,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_170_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
45,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_171_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
46,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_201_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
47,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_202_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
48,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_208_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-48,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
49,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_211_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
