audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_88,0.82,3.6736,R,70,3.902,3.957,40.49,3.882,3.9,,
matching_annotaudio_Aditya_2018-08-16_2324_89,0.76,0.304,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_90,0.92,1.1776,L,80,0.627,0.656,28.36,0.673,0.684,,
matching_annotaudio_Aditya_2018-08-16_2324_91,0.03,0.0792,R,80,0.153,0.173,39.65,0.219,0.238,,
matching_annotaudio_Aditya_2018-08-16_2324_92,0.2,0.536,R,45,0.223,0.24,31.18,2.209,2.222,,
matching_annotaudio_Aditya_2018-08-16_2324_93,0.58,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_94,0.35,0.322,R,50,0.326,0.347,32.65,0.358,0.368,,
matching_annotaudio_Aditya_2018-08-16_2324_95,0.3,0.12,R,50,0.037,0.061,28.45,0.142,0.148,,
matching_annotaudio_Aditya_2018-08-16_2324_96,0.29,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_97,0.14,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_99,0.71,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_100,0.07,NA,R,NA,NA,NA,NA,NA,NA,HSB+ FM calls,
matching_annotaudio_Aditya_2018-08-16_2324_101,0.85,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between FM bat and HSB,
matching_annotaudio_Aditya_2018-08-16_2324_102,0.05,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_103,0.08,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_104,0.66,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
