audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_45_182,0.19,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat flying. However there are very prominent FM calls.
matching_annotaudio_Aditya_2018-08-17_45_185,0.24,0.1248,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_186,0.4,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_188,0.76,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_189,0.66,1.5576,R,70,0.104,0.13,22.28,0.137,0.146,
matching_annotaudio_Aditya_2018-08-17_45_200,0.26,0.6552,R,40,0.216,0.239,22.04,0.209,0.215,"There are few myotis calls, not very prominent. However they are 'light pink'"
matching_annotaudio_Aditya_2018-08-17_45_201,0.16,NA,R,NA,NA,NA,NA,NA,NA,"There is only one bat in the cave. However, in the beginning of the call, both myotis and HSB calls present."
matching_annotaudio_Aditya_2018-08-17_45_202,0.4,NA,L,NA,NA,NA,NA,NA,NA,"There is only one bat in the cave. However, both myotis and HSB calls present."
matching_annotaudio_Aditya_2018-08-17_45_203,1,12.92,L,50,0.263,0.296,32.28,0.33,0.341,
matching_annotaudio_Aditya_2018-08-17_45_204,0.53,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_205,0.14,0.1288,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_207,0.37,1.3616,L,NA,NA,NA,NA,NA,NA,Very prominent myotis calls in the beginning. There is only bat flying.
matching_annotaudio_Aditya_2018-08-17_45_210,0.67,NA,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_211,0.28,0.5488,L,60,0.114,0.145,24.34,0.188,0.203,
matching_annotaudio_Aditya_2018-08-17_45_212,0.29,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation - myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_227,0.42,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation - myotis and HSB
