audio_annotation_file,,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,,,,,,,,fm2_start_time,fm2_end_time,fm2_dbrms
matching_annotaudio_Aditya_2018-08-17_34_125,0.49,49,0.294,R,NA,NA,NA,NA,NA,NA,No clear call (The bat going off axis),,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_128,0.42,42,NA,R,NA,NA,NA,NA,NA,NA,"One of them is a myotis and the other horseshoe bat, verified from video",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_129,0.03,3,NA,R,NA,NA,NA,NA,NA,NA,"One of them is a myotis and the other horseshoe bat, verified from video",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_130,0.76,76,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_131,0.96,96,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_132,0.24,24,1.3728,L,50,0.261,0.294,27.2,0.238,0.256,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_133,0.91,91,5.1688,R,45,2.321,2.351,20.61,2.295,2.315,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_134,0.33,33,0.2772,L,55,0.223,0.243,36.97,0.214,0.221,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_135,0.93,93,0.7812,R,NA,NA,NA,NA,NA,NA,Same audio as before. ,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_136,0.04,4,0.0336,R,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_137,0.79,79,0.632,R,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_138,0.58,58,0.1856,R,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_139,0.72,72,NA,R,NA,NA,NA,NA,NA,NA,Myotis+  Horseshoe bat calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_142,0.36,36,0.864,L,70,0.122,0.148,20.54,0.152,0.163,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_143,0.43,43,0.2236,R,NA,NA,NA,NA,NA,NA,NO CLEAR CALLs with good SNR,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_144,0.86,86,0.3612,L,50,2.568,2.592,37.55,2.547,2.562,There are faint myotis calls at the start of the call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_145,0.15,15,0.102,R,70,0.111,0.14,20.49,0.096,0.111,Not extremely confident. There are myotis calls also. Little interference at the start of upward FM,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_146,0.23,23,3.2476,L,NA,NA,NA,NA,NA,NA,Myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_147,0.2,20,0.256,L,80,0.274,0.293,31.9,0.259,0.273,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_149,0.09,9,0.0684,R,50,0.01,0.029,23.64,0.12,0.131,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_151,0.17,17,0.1088,L,45,0.075,0.097,31.47,0.059,0.073,There is a faint echo at the start,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_154,0.31,31,0.1116,R,NA,NA,NA,NA,NA,NA,No calls with good enough SNR,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_155,0.18,18,0.0252,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_156,0.93,93,1.116,R,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_157,0.07,7,0.028,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_158,0.58,58,0.4408,R,50,0.567,0.588,22.98,0.673,0.679,There are echoes before the start of the call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_163,0.14,14,NA,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_165,0.49,49,1.5484,L,50,2.04,2.058,29.69,2.07,2.079,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_168,0.28,28,0.2016,R,50,0.188,0.204,37.99,0.175,0.186,Faint echoes at the start of the call since the call is very loud,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_169,0.42,42,0.2688,R,45,0.115,0.134,41.57,0.522,0.542,"Here also, there are some faint echoes at the start",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_170,0.44,44,0.4048,R,55,0.507,0.527,21.78,0.49,0.502,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_171,0.93,93,5.0592,R,45,2.179,2.219,25.61,2.231,2.24,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_175,0.83,83,NA,L,NA,NA,NA,NA,NA,NA,Very prominent myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_176,0.6,60,NA,R,NA,NA,NA,NA,NA,NA,Very prominent myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_190,0.02,2,NA,L,NA,NA,NA,NA,NA,NA,"Myotis+ HSB calls. No good call in channel 1, although there are ones in channel 2",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_191,0.55,55,NA,R,NA,NA,NA,NA,NA,NA,Overlapping HSB +Myotis calls. No good calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_192,0.63,63,3.2256,L,NA,NA,NA,NA,NA,NA,Overlapping HSB +Myotis calls. No good calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_201,0.09,9,0.4572,R,80,0.637,0.66,26.64,0.699,0.716,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_202,0.76,76,17.138,R,45,3.245,3.266,24.88,3.235,3.243,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_208,0.17,17,0.5372,R,70,1.597,1.62,28.44,1.587,1.595,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_211,0.41,41,1.0496,L,80,0.149,0.173,26.35,0.139,0.149,,,,,,,,,,,
