audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-19_0120-0200_90,0.89,0.1424,R,50,0.086,0.106,33.34,0.213,0.233,There are faint echoes during the call. Silent interval taken from 0120-2000_63
matching_annotaudio_Aditya_2018-08-19_0120-0200_93,0.52,0.6032,R,70,0.419,0.437,24.64,0.453,0.461,
matching_annotaudio_Aditya_2018-08-19_0120-0200_94,0.37,0.4736,R,40,0.487,0.51,22.4,0.543,0.549,
matching_annotaudio_Aditya_2018-08-19_0120-0200_95,1,1.48,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_96,0.11,0.2112,R,60,0.242,0.26,42.42,0.275,0.282,
matching_annotaudio_Aditya_2018-08-19_0120-0200_97,0.34,NA,R,NA,NA,NA,NA,NA,NA,"Only one bat in the cave. However, overlapping calls. Multi bat situation succeeds this."
matching_annotaudio_Aditya_2018-08-19_0120-0200_101,0.21,0.2352,R,70,0.254,0.281,39.29,0.325,0.329,
matching_annotaudio_Aditya_2018-08-19_0120-0200_102,0.97,0.3492,L,NA,NA,NA,NA,NA,NA,"Only one bat in the cave. However, overlapping calls. Multi bat situation succeeds this."
matching_annotaudio_Aditya_2018-08-19_0120-0200_104,0.36,0.2448,L,70,0.031,0.07,27.9,0.082,0.097,There are faint echoes during the call
matching_annotaudio_Aditya_2018-08-19_0120-0200_105,0.37,0.6068,R,50,0.427,0.46,22.38,0.415,0.425,Not sure if there is a slight interference. 
matching_annotaudio_Aditya_2018-08-19_0120-0200_106,0.05,0.104,L,65,1.692,1.714,20.98,1.626,1.638,
matching_annotaudio_Aditya_2018-08-19_0120-0200_107,0.86,0.7224,R,50,0.357,0.378,24.62,0.352,0.356,
matching_annotaudio_Aditya_2018-08-19_0120-0200_109,0.31,0.5084,R,55,0.524,0.57,26.91,0.581,0.587,
matching_annotaudio_Aditya_2018-08-19_0120-0200_110,0.67,0.7772,R,80,0.367,0.398,26.46,0.423,0.44,
matching_annotaudio_Aditya_2018-08-19_0120-0200_111,0.51,0.4896,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_112,0.32,0.3584,L,65,0.469,0.496,29.85,0.439,0.447,
matching_annotaudio_Aditya_2018-08-19_0120-0200_113,0.54,0.4104,R,45,0.318,0.333,26.95,0.348,0.356,There are strong echoes after the call
matching_annotaudio_Aditya_2018-08-19_0120-0200_116,0.78,2.652,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. Overlapping HSB calls. Succeeding this is
matching_annotaudio_Aditya_2018-08-19_0120-0200_117,0.8,3.072,R,60,60,3.53,3.553,28.78,3.519,3.524
matching_annotaudio_Aditya_2018-08-19_0120-0200_118,0.07,0.0728,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_119,0.27,0.2916,R,70,0.331,0.351,30.07,0.314,0.323,
matching_annotaudio_Aditya_2018-08-19_0120-0200_120,0.11,0.044,R,50,0.119,0.138,28.71,0.148,0.158,Echoes during the upward sweep.
matching_annotaudio_Aditya_2018-08-19_0120-0200_121,0.02,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_122,0.22,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_123,0.23,0.1196,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_124,0.37,0.5476,L,45,0.484,0.503,29.74,0.47,0.478,
matching_annotaudio_Aditya_2018-08-19_0120-0200_126,0.52,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_127,0.44,0.44,R,60,0.028,0.049,35.54,0.013,0.025,
matching_annotaudio_Aditya_2018-08-19_0120-0200_128,0.81,0.2268,L,NA,NA,NA,NA,NA,NA,No clear call
