,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-17_12_28_hp,0.01564,0.044403076171875,127.8118609406953,102301.79028132994,cf1,0.021747972760293537,0.000596,0.016236,102237.85166240411,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_28_hp,0.001196,0.02593994140625,1666.6666666666667,97826.08695652173,fm1,0.012303861384862754,0.016236,0.017432,94481.60535117057,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_80_hp,0.001104,0.03662109375,1798.5611510791366,107789.85507246378,fm1,0.020008265014293054,0.0,0.001104,100543.47826086957,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_80_hp,0.02502,0.08636474609375,79.923273657289,110991.2070343725,cf1,0.03786717282066791,0.001104,0.026124,110951.23900879297,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_80_hp,0.00146,0.03692626953125,1366.120218579235,106849.31506849316,fm2,0.015709201875981963,0.026124,0.027584,99315.0684931507,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_44_hp,0.002692,0.02740478515625,741.839762611276,102526.0029717682,fm1,0.011648430852650242,0.0,0.002692,94353.64041604755,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_44_hp,0.023316,0.0675048828125,85.76329331046313,103276.7198490307,cf1,0.027744473231621058,0.002692,0.026008,103105.16383599245,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_44_hp,0.000992,0.012115478515625,2000.0,98790.32258064515,fm2,0.005175157348029449,0.026008,0.027,94758.06451612903,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_15_hp,0.001416,0.01507568359375,1404.4943820224719,96045.197740113,fm1,0.007089461316744836,0.000532,0.001948,91101.69491525425,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_15_hp,0.017,0.047210693359375,117.59172154280338,104294.11764705884,cf1,0.02388367381524,0.001948,0.018948,104117.64705882355,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_15_hp,0.001852,0.056304931640625,1077.5862068965516,95572.35421166309,fm2,0.024269670898788485,0.018948,0.0208,88552.91576673868,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_75_hp,0.013548,0.042144775390625,147.5796930342385,104443.4602893416,cf1,0.018846793008726877,0.0008,0.014348,104369.64865662828,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_75_hp,0.000964,0.0220947265625,2066.115702479339,99585.0622406639,fm1,0.009212379952660363,0.014348,0.015312,96473.02904564315,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_2_hp,0.000588,0.034332275390625,3378.3783783783783,108843.53741496599,fm1,0.020344794810218964,0.000708,0.001296,107142.85714285714,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_2_hp,0.027364,0.11651611328125,73.07804735457468,111094.86917117379,cf1,0.062385659987800345,0.001296,0.02866,111058.32480631486,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_2_hp,0.001084,0.03448486328125,1838.235294117647,108856.08856088562,fm2,0.01948011476892359,0.02866,0.029744,104243.54243542436,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_21_hp,0.00098,0.07373046875,2032.520325203252,103061.22448979592,fm1,0.042277024887833824,0.000576,0.001556,98979.59183673469,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_21_hp,0.046468,0.354736328125,43.036667240488896,104760.26512869072,cf1,0.17763830559871663,0.001556,0.048024,104717.2247568219,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_21_hp,0.001144,0.07037353515625,1736.111111111111,102272.72727272728,fm2,0.03729781524078564,0.048024,0.049168,98776.22377622378,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_118_hp,0.001092,0.031219482421875,1824.8175182481752,110805.86080586082,fm1,0.012273405528637453,0.000456,0.001548,108974.35897435898,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_118_hp,0.01602,0.058807373046875,124.81278082875687,112109.86267166042,cf1,0.0318631468226507,0.001548,0.017568,111922.59675405743,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_118_hp,0.001036,0.0369873046875,1923.076923076923,111969.11196911197,fm2,0.013370263458799433,0.017568,0.018604,108108.1081081081,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_115_hp,0.00166,0.054840087890625,1201.923076923077,101807.22891566265,fm1,0.018796157050265345,4e-06,0.001664,96987.9518072289,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_115_hp,0.051512,0.196258544921875,38.81987577639752,105742.35129678523,cf1,0.09217279742617132,0.001664,0.053176,105373.50520267124,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_115_hp,0.001756,0.04107666015625,1136.3636363636363,104783.59908883827,fm2,0.016728473630796943,0.053176,0.054932,101366.74259681093,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_116_hp,0.001168,0.03887939453125,1700.6802721088436,108732.87671232877,fm1,0.02270848926672369,0.000408,0.001576,96746.57534246576,-10
