,audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,Unnamed: 11,Unnamed: 1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,fm2_start_time,fm2_end_time,fm2_dbrms
490,matching_annotaudio_Aditya_2018-08-17_12_114,0.77,1.848,R,40.0,1.541,1.564,25.25,1.534,1.5390000000000001,,,,,,,,,,,,,
491,matching_annotaudio_Aditya_2018-08-17_12_115,0.58,2.668,R,70.0,3.833,3.888,36.94,3.823,3.83,,,,,,,,,,,,,
492,matching_annotaudio_Aditya_2018-08-17_12_116,0.77,6.5912,R,70.0,7.608,7.648,34.28,7.595,7.604,,,,,,,,,,,,,
493,matching_annotaudio_Aditya_2018-08-17_12_117,0.13,0.6084,L,70.0,2.6289999999999996,2.6519999999999997,28.4,2.662,2.6710000000000003,,,,,,,,,,,,,
494,matching_annotaudio_Aditya_2018-08-17_12_118,0.08,0.272,L,50.0,2.92,2.9389999999999996,28.02,2.9539999999999997,2.969,,,,,,,,,,,,,
495,matching_annotaudio_Aditya_2018-08-17_12_121,0.84,4.5696,L,80.0,4.138999999999999,4.205,35.41,4.215,4.231,,,,,,,,,,,,,
503,matching_annotaudio_Aditya_2018-08-20_0200-0300_11,0.12,0.0528,L,60.0,0.263,0.281,21.92,0.297,0.304,,,,,,,,,,,,,
505,matching_annotaudio_Aditya_2018-08-20_0200-0300_16,0.73,0.6424,L,55.0,0.006999999999999999,0.032,30.57,0.091,0.096,,,,,,,,,,,,,
506,matching_annotaudio_Aditya_2018-08-20_0200-0300_18,0.61,0.6344,R,65.0,0.589,0.604,23.12,0.6779999999999999,0.6809999999999999,,,,,,,,,,,,,
507,matching_annotaudio_Aditya_2018-08-20_0200-0300_23,0.86,0.516,R,70.0,0.21,0.237,24.22,0.19699999999999998,0.204,,,,,,,,,,,,,
508,matching_annotaudio_Aditya_2018-08-20_0200-0300_38,0.02,0.0216,R,65.0,0.38799999999999996,0.408,29.58,0.36200000000000004,0.37,,,,,,,,,,,,,
509,matching_annotaudio_Aditya_2018-08-20_0200-0300_39,0.19,0.0988,L,65.0,0.079,0.105,28.24,0.11699999999999999,0.126,,,,,,,,,,,,,
511,matching_annotaudio_Aditya_2018-08-20_0200-0300_43,0.99,1.8612,L,60.0,0.7959999999999999,0.816,21.29,0.9079999999999999,0.914,,,,,,,,,,,,,
513,matching_annotaudio_Aditya_2018-08-20_0200-0300_54,0.44,0.9504,R,65.0,0.368,0.408,26.76,0.41700000000000004,0.425,,,,,,,,,,,,,
515,matching_annotaudio_Aditya_2018-08-20_0200-0300_61,0.12,0.0864,L,45.0,0.08199999999999999,0.11,26.65,0.068,0.075,,,,,,,,,,,,,
517,matching_annotaudio_Aditya_2018-08-20_0200-0300_64,0.54,0.8856,L,55.0,0.696,0.716,21.39,0.687,0.6940000000000001,,,,,,,,,,,,,
518,matching_annotaudio_Aditya_2018-08-20_0200-0300_66,0.65,1.742,R,80.0,2.612,2.641,32.18,2.199,2.21,,,,,,,,,,,,,
520,matching_annotaudio_Aditya_2018-08-20_0200-0300_71,0.32,0.2816,R,55.0,0.035,0.059000000000000004,24.25,0.259,0.272,,,,,,,,,,,,,
521,matching_annotaudio_Aditya_2018-08-20_0200-0300_72,0.49,0.4508,L,60.0,0.46799999999999997,0.502,26.71,0.6409999999999999,0.653,Not sure if there is a little interference.,,,,,,,,,,,,
522,matching_annotaudio_Aditya_2018-08-20_0200-0300_73,0.23,0.4048,R,55.0,0.027999999999999997,0.048,21.07,0.081,0.09300000000000001,,,,,,,,,,,,,
523,matching_annotaudio_Aditya_2018-08-20_0200-0300_76,0.46,1.0488,R,70.0,0.354,0.379,23.02,0.387,0.395,,,,,,,,,,,,,
524,matching_annotaudio_Aditya_2018-08-20_0200-0300_78,0.51,0.612,L,75.0,0.247,0.273,25.11,0.019,0.025,,,,,,,,,,,,,
525,matching_annotaudio_Aditya_2018-08-20_0200-0300_79,0.56,0.22399999999999998,R,50.0,0.22699999999999998,0.248,20.34,0.196,0.20199999999999999,,,,,,,,,,,,,
526,matching_annotaudio_Aditya_2018-08-20_0200-0300_80,0.6,0.8640000000000001,L,45.0,0.13,0.156,28.71,0.222,0.225,,,,,,,,,,,,,
527,matching_annotaudio_Aditya_2018-08-20_0200-0300_88,0.7,0.44799999999999995,L,40.0,0.012,0.038,27.76,0.006,0.01,,,,,,,,,,,,,
528,matching_annotaudio_Aditya_2018-08-20_0200-0300_90,0.02,0.0184,L,60.0,0.028999999999999998,0.05,20.09,0.022000000000000002,0.027000000000000003,,,,,,,,,,,,,
529,matching_annotaudio_Aditya_2018-08-20_0200-0300_92,0.53,3.6464,R,55.0,1.974,1.9880000000000002,27.66,1.992,1.995,,,,,,,,,,,,,
530,matching_annotaudio_Aditya_2018-08-19_0120-0200_1,0.52,0.52,L,60.0,0.387,0.415,24.06,0.428,0.435,,,,,,,,,,,,,
531,matching_annotaudio_Aditya_2018-08-19_0120-0200_8,0.86,4.816,L,80.0,4.526,4.561,40.51,4.51,4.52,,,,,,,,,,,,,
532,matching_annotaudio_Aditya_2018-08-19_0120-0200_13,0.5,0.6,R,70.0,0.18100000000000002,0.225,32.77,0.168,0.174,,,,,,,,,,,,,
533,matching_annotaudio_Aditya_2018-08-19_0120-0200_14,0.32,1.3568,L,60.0,3.281,3.325,28.59,3.2680000000000002,3.2769999999999997,,,,,,,,,,,,,
535,matching_annotaudio_Aditya_2018-08-19_0120-0200_19,0.09,0.6624,R,65.0,0.6970000000000001,0.7190000000000001,29.56,0.687,0.695,,,,,,,,,,,,,
536,matching_annotaudio_Aditya_2018-08-19_0120-0200_20,0.1,0.444,R,65.0,0.445,0.479,34.79,0.52,0.5429999999999999,,,,,,,,,,,,,
537,matching_annotaudio_Aditya_2018-08-19_0120-0200_21,0.72,0.4608,L,80.0,0.39,0.44,38.66,0.457,0.475,,,,,,,,,,,,,
538,matching_annotaudio_Aditya_2018-08-19_0120-0200_22,0.46,2.5392,R,80.0,5.045,5.102,38.97,5.029,5.038,,,,,,,,,,,,,
539,matching_annotaudio_Aditya_2018-08-19_0120-0200_23,0.27,0.648,R,80.0,2.116,2.164,22.42,2.174,2.189,,,,,,,,,,,,,
540,matching_annotaudio_Aditya_2018-08-19_0120-0200_24,0.47,1.8048,L,60.0,0.066,0.11800000000000001,27.27,0.157,0.168,,,,,,,,,,,,,
542,matching_annotaudio_Aditya_2018-08-19_0120-0200_59,0.75,0.45,L,70.0,0.413,0.43200000000000005,28.24,0.44799999999999995,0.457,,,,,,,,,,,,,
543,matching_annotaudio_Aditya_2018-08-19_0120-0200_60,0.6,1.536,L,70.0,0.7490000000000001,0.7879999999999999,25.95,0.807,0.8140000000000001,,,,,,,,,,,,,
545,matching_annotaudio_Aditya_2018-08-19_0120-0200_63,0.75,0.54,R,80.0,0.23399999999999999,0.254,34.21,0.21600000000000003,0.23199999999999998,,,,,,,,,,,,,
546,matching_annotaudio_Aditya_2018-08-19_0120-0200_64,0.75,0.78,L,60.0,0.381,0.401,31.49,0.374,0.379,,,,,,,,,,,,,
547,matching_annotaudio_Aditya_2018-08-19_0120-0200_65,0.08,0.0736,R,60.0,0.22,0.239,27.86,0.207,0.215,,,,,,,,,,,,,
548,matching_annotaudio_Aditya_2018-08-19_0120-0200_66,0.45,0.198,L,55.0,0.196,0.214,28.83,0.177,0.19,There are faint echoes during the call,,,,,,,,,,,,
551,matching_annotaudio_Aditya_2018-08-19_0120-0200_72,0.86,1.3072,L,45.0,0.446,0.46799999999999997,26.42,0.48100000000000004,0.488,,,,,,,,,,,,,
552,matching_annotaudio_Aditya_2018-08-19_0120-0200_73,0.73,2.6572,L,60.0,2.6010000000000004,2.6460000000000004,25.83,2.593,2.5989999999999998,,,,,,,,,,,,,
553,matching_annotaudio_Aditya_2018-08-19_0120-0200_74,0.21,0.4368,L,70.0,0.284,0.307,38.74,0.325,0.33299999999999996,,,,,,,,,,,,,
557,matching_annotaudio_Aditya_2018-08-19_0120-0200_79,0.2,0.336,R,55.0,0.5529999999999999,0.57,33.01,0.608,0.615,,,,,,,,,,,,,
561,matching_annotaudio_Aditya_2018-08-19_0120-0200_83,0.72,2.3040000000000003,R,50.0,0.524,0.545,39.01,0.58,0.593,,,,,,,,,,,,,
567,matching_annotaudio_Aditya_2018-08-19_0120-0200_90,0.89,0.1424,R,50.0,0.086,0.106,33.34,0.213,0.233,There are faint echoes during the call. Silent interval taken from 0120-2000_63,,,,,,,,,,,,
568,matching_annotaudio_Aditya_2018-08-19_0120-0200_93,0.52,0.6032,R,70.0,0.419,0.43700000000000006,24.64,0.45299999999999996,0.461,,,,,,,,,,,,,
569,matching_annotaudio_Aditya_2018-08-19_0120-0200_94,0.37,0.4736,R,40.0,0.48700000000000004,0.51,22.4,0.5429999999999999,0.5489999999999999,,,,,,,,,,,,,
571,matching_annotaudio_Aditya_2018-08-19_0120-0200_96,0.11,0.2112,R,60.0,0.242,0.26,42.42,0.275,0.282,,,,,,,,,,,,,
572,matching_annotaudio_Aditya_2018-08-19_0120-0200_101,0.21,0.2352,R,70.0,0.254,0.281,39.29,0.325,0.32899999999999996,,,,,,,,,,,,,
573,matching_annotaudio_Aditya_2018-08-19_0120-0200_105,0.37,0.6068,R,50.0,0.42700000000000005,0.46,22.38,0.415,0.425,Not sure if there is a slight interference. ,,,,,,,,,,,,
574,matching_annotaudio_Aditya_2018-08-19_0120-0200_106,0.05,0.10400000000000001,L,65.0,1.692,1.714,20.98,1.626,1.6380000000000001,,,,,,,,,,,,,
575,matching_annotaudio_Aditya_2018-08-19_0120-0200_107,0.86,0.7224,R,50.0,0.35700000000000004,0.37799999999999995,24.62,0.35200000000000004,0.35600000000000004,,,,,,,,,,,,,
576,matching_annotaudio_Aditya_2018-08-19_0120-0200_109,0.31,0.5084,R,55.0,0.524,0.57,26.91,0.581,0.5870000000000001,,,,,,,,,,,,,
577,matching_annotaudio_Aditya_2018-08-19_0120-0200_110,0.67,0.7772,R,80.0,0.36700000000000005,0.39799999999999996,26.46,0.423,0.44,,,,,,,,,,,,,
579,matching_annotaudio_Aditya_2018-08-19_0120-0200_112,0.32,0.3584,L,65.0,0.469,0.496,29.85,0.439,0.447,,,,,,,,,,,,,
580,matching_annotaudio_Aditya_2018-08-19_0120-0200_113,0.54,0.4104,R,45.0,0.318,0.33299999999999996,26.95,0.348,0.35600000000000004,There are strong echoes after the call,,,,,,,,,,,,
581,matching_annotaudio_Aditya_2018-08-19_0120-0200_117,0.8,3.072,R,60.0,60.0,3.53,3.553,28.78,3.5189999999999997,3.524,,,,,,,,,,,,
583,matching_annotaudio_Aditya_2018-08-19_0120-0200_119,0.27,0.2916,R,70.0,0.331,0.35100000000000003,30.07,0.314,0.32299999999999995,,,,,,,,,,,,,
584,matching_annotaudio_Aditya_2018-08-19_0120-0200_120,0.11,0.044000000000000004,R,50.0,0.11900000000000001,0.138,28.71,0.14800000000000002,0.158,Echoes during the upward sweep.,,,,,,,,,,,,
586,matching_annotaudio_Aditya_2018-08-19_0120-0200_124,0.37,0.5476,L,45.0,0.484,0.503,29.74,0.47,0.478,,,,,,,,,,,,,
587,matching_annotaudio_Aditya_2018-08-19_0120-0200_127,0.44,0.44,R,60.0,0.027999999999999997,0.049,35.54,0.013000000000000001,0.025,,,,,,,,,,,,,
589,matching_annotaudio_Aditya_2018-08-17_01_2,0.58,0.1392,L,60.0,0.35,0.55,25.79,0.061,0.065,The amplitude reduces towards the end of the CF and the terminal FM. Not sure if it occurs because of some interference,,,,,,,,,,,,
591,matching_annotaudio_Aditya_2018-08-17_01_4,0.79,1.2324,R,50.0,1.2570000000000001,1.276,23.12,1.246,1.253,,,,,,,,,,,,,
595,matching_annotaudio_Aditya_2018-08-17_01_10,0.98,1.0976,R,70.0,0.9390000000000001,0.958,27.34,0.922,0.938,,,,,,,,,,,,,
596,matching_annotaudio_Aditya_2018-08-17_01_11,0.34,0.3944,R,70.0,0.038,0.059000000000000004,32.06,0.07200000000000001,0.079,,,,,,,,,,,,,
597,matching_annotaudio_Aditya_2018-08-17_01_13,0.9,0.46799999999999997,L,70.0,0.133,0.151,31.05,0.124,0.132,,,,,,,,,,,,,
599,matching_annotaudio_Aditya_2018-08-17_01_15,0.89,0.8188,L,55.0,0.371,0.39,29.37,0.361,0.368,,,,,,,,,,,,,
601,matching_annotaudio_Aditya_2018-08-17_01_21,0.71,0.8236,R,70.0,0.087,0.111,31.56,0.065,0.068,,,,,,,,,,,,,
602,matching_annotaudio_Aditya_2018-08-17_01_22,0.37,0.888,L,70.0,0.17300000000000001,0.19,31.3,0.222,0.23199999999999998,,,,,,,,,,,,,
603,matching_annotaudio_Aditya_2018-08-17_01_24,0.85,0.544,L,80.0,0.39299999999999996,0.45,22.91,0.18899999999999997,0.195,,,,,,,,,,,,,
604,matching_annotaudio_Aditya_2018-08-17_01_26,0.93,0.5952,R,50.0,0.033,0.048,21.65,0.147,0.157,,,,,,,,,,,,,
605,matching_annotaudio_Aditya_2018-08-17_01_28,0.55,0.55,R,60.0,0.21600000000000003,0.23,22.34,0.135,0.156,Not a very clear call.There are echoes after the call.Silent interval taken from 01_26,,,,,,,,,,,,
606,matching_annotaudio_Aditya_2018-08-17_01_29,0.62,0.248,L,50.0,0.166,0.201,24.56,0.281,0.28300000000000003,There are faint echoes throught out the call. Not a very clear call,,,,,,,,,,,,
610,matching_annotaudio_Aditya_2018-08-17_01_33,0.41,0.3936,R,55.0,0.391,0.41,27.65,0.384,0.39,,,,,,,,,,,,,
611,matching_annotaudio_Aditya_2018-08-17_01_34,0.41,0.08199999999999999,L,50.0,0.08900000000000001,0.11,26.69,0.136,0.142,There are echoe after the call,,,,,,,,,,,,
612,matching_annotaudio_Aditya_2018-08-17_01_35,0.45,0.18,L,50.0,0.235,0.252,21.8,0.217,0.22699999999999998,,,,,,,,,,,,,
613,matching_annotaudio_Aditya_2018-08-17_01_36,0.4,0.784,R,60.0,1.212,1.2309999999999999,24.88,1.194,1.209,,,,,,,,,,,,,
614,matching_annotaudio_Aditya_2018-08-17_01_37,0.91,0.5824,L,40.0,0.005,0.022000000000000002,29.46,0.001,0.005,,,,,,,,,,,,,
615,matching_annotaudio_Aditya_2018-08-17_01_39,0.84,0.336,R,50.0,0.04,0.059000000000000004,36.8,0.242,0.249,There are faint echoes throught out the call.,,,,,,,,,,,,
616,matching_annotaudio_Aditya_2018-08-17_01_40,0.97,0.6596,L,50.0,0.183,0.20199999999999999,23.42,0.17600000000000002,0.179,,,,,,,,,,,,,
617,matching_annotaudio_Aditya_2018-08-17_01_43,0.05,0.038,L,50.0,0.723,0.7290000000000001,33.9,0.127,0.133,,,,,,,,,,,,,
618,matching_annotaudio_Aditya_2018-08-17_01_44,0.86,1.3072,L,50.0,0.365,0.385,24.17,0.214,0.223,,,,,,,,,,,,,
619,matching_annotaudio_Aditya_2018-08-17_01_45,0.71,1.1928,R,50.0,1.111,1.151,37.57,0.8859999999999999,0.8909999999999999,,,,,,,,,,,,,
620,matching_annotaudio_Aditya_2018-08-17_01_46,0.39,0.23399999999999999,L,70.0,0.506,0.534,31.7,0.494,0.502,,,,,,,,,,,,,
621,matching_annotaudio_Aditya_2018-08-17_01_47,0.78,1.0608,L,45.0,0.903,0.92,40.5,0.995,0.9990000000000001,,,,,,,,,,,,,
622,matching_annotaudio_Aditya_2018-08-17_01_49,0.64,0.4608,L,45.0,0.068,0.085,20.0,0.027999999999999997,0.04,,,,,,,,,,,,,
624,matching_annotaudio_Aditya_2018-08-17_01_58,0.49,0.9996,R,60.0,1.095,1.14,32.82,1.151,1.165,,,,,,,,,,,,,
625,matching_annotaudio_Aditya_2018-08-17_01_60,0.37,0.222,R,70.0,0.027999999999999997,0.049,29.31,0.094,0.10099999999999999,Not exactly sure where the call starts.,,,,,,,,,,,,
628,matching_annotaudio_Aditya_2018-08-17_01_65,0.54,0.7992,L,45.0,0.28600000000000003,0.305,20.02,0.23800000000000002,0.24600000000000002,,,,,,,,,,,,,
630,matching_annotaudio_Aditya_2018-08-17_01_75,0.94,0.7144,R,50.0,0.204,0.22,31.43,0.5379999999999999,0.544,Not exactly sure where the call starts.,,,,,,,,,,,,
631,matching_annotaudio_Aditya_2018-08-17_01_76,0.92,2.3184,L,75.0,2.086,2.1109999999999998,22.63,2.06,2.076,,,,,,,,,,,,,
633,matching_annotaudio_Aditya_2018-08-17_01_78,0.48,0.2496,R,65.0,0.147,0.161,23.45,0.309,0.311,,,,,,,,,,,,,
634,matching_annotaudio_Aditya_2018-08-17_01_79,0.7,2.66,L,60.0,2.4330000000000003,2.448,22.19,2.639,2.653,,,,,,,,,,,,,
635,matching_annotaudio_Aditya_2018-08-17_01_80,0.14,0.3472,L,70.0,0.249,0.27,25.94,0.22699999999999998,0.244,,,,,,,,,,,,,
636,matching_annotaudio_Aditya_2018-08-17_01_81,0.75,0.63,L,45.0,0.431,0.449,28.13,0.46299999999999997,0.474,,,,,,,,,,,,,
637,matching_annotaudio_Aditya_2018-08-17_01_82,0.44,0.4576,R,65.0,0.649,0.679,35.53,0.63,0.643,,,,,,,,,,,,,
638,matching_annotaudio_Aditya_2018-08-17_01_83,0.02,0.0096,R,45.0,0.136,0.157,45.28,0.114,0.125,,,,,,,,,,,,,
639,matching_annotaudio_Aditya_2018-08-17_01_84,0.89,1.3528,R,50.0,1.344,1.375,20.41,1.334,1.341,,,,,,,,,,,,,
640,matching_annotaudio_Aditya_2018-08-16_21502300_9,0.67,0.1876,L,70.0,0.031,0.054000000000000006,31.9,0.428,0.47100000000000003,Silent interval taken from 'matching_annotaudio_Aditya_2018-08-16_21502300_5',,,,,,,,,,,,
642,matching_annotaudio_Aditya_2018-08-16_21502300_18,0.13,0.1352,L,65.0,0.11800000000000001,0.14300000000000002,30.9,0.154,0.159,There are strong echoes after the call.,,,,,,,,,,,,
643,matching_annotaudio_Aditya_2018-08-16_21502300_19,0.06,0.0984,R,65.0,0.7559999999999999,0.797,38.81,0.746,0.752,There is a faint signal at around 75kHz.,,,,,,,,,,,,
644,matching_annotaudio_Aditya_2018-08-16_21502300_20,0.54,1.6632,L,50.0,1.768,1.7890000000000001,21.4,1.805,1.814,,,,,,,,,,,,,
645,matching_annotaudio_Aditya_2018-08-16_21502300_22,0.59,1.7228,L,90.0,0.29600000000000004,0.36,41.2,0.38799999999999996,0.39799999999999996,,,,,,,,,,,,,
646,matching_annotaudio_Aditya_2018-08-16_21502300_24,0.34,0.2584,L,45.0,0.036000000000000004,0.06,29.5,0.026000000000000002,0.033,There are very faint echoes along the call.,,,,,,,,,,,,
647,matching_annotaudio_Aditya_2018-08-16_21502300_25,0.93,0.9672,R,60.0,0.91,0.935,23.72,0.888,0.903,,,,,,,,,,,,,
648,matching_annotaudio_Aditya_2018-08-16_21502300_26,0.59,0.6136,R,60.0,0.6629999999999999,0.682,29.35,0.648,0.657,,,,,,,,,,,,,
649,matching_annotaudio_Aditya_2018-08-16_21502300_28,0.12,0.4128,L,55.0,0.8190000000000001,0.847,22.09,0.865,0.878,,,,,,,,,,,,,
650,matching_annotaudio_Aditya_2018-08-16_21502300_30,0.24,0.2016,L,65.0,0.239,0.258,26.94,0.228,0.23800000000000002,,,,,,,,,,,,,
651,matching_annotaudio_Aditya_2018-08-16_21502300_32,0.25,0.92,L,55.0,0.763,0.818,33.68,0.743,0.7559999999999999,,,,,,,,,,,,,
652,matching_annotaudio_Aditya_2018-08-16_21502300_33,0.65,1.742,L,45.0,0.0,0.03,31.88,0.067,0.077,,,,,,,,,,,,,
654,matching_annotaudio_Aditya_2018-08-16_21502300_35,0.89,1.9580000000000002,L,60.0,0.429,0.462,26.08,0.474,0.48200000000000004,Not sure whether there is interference in the call.,,,,,,,,,,,,
655,matching_annotaudio_Aditya_2018-08-16_21502300_36,0.59,4.3188,R,50.0,0.111,0.133,29.45,1.094,1.102,There are faint calls of the other bat.,,,,,,,,,,,,
656,matching_annotaudio_Aditya_2018-08-16_21502300_39,0.07,0.2408,L,55.0,1.7990000000000002,1.8159999999999998,25.7,1.9909999999999999,2.0,,,,,,,,,,,,,
657,matching_annotaudio_Aditya_2018-08-16_21502300_40,0.28,1.2208,R,45.0,2.7910000000000004,2.812,22.58,3.1689999999999996,3.174,,,,,,,,,,,,,
658,matching_annotaudio_Aditya_2018-08-16_21502300_41,0.75,0.54,R,90.0,0.465,0.514,39.94,0.546,0.555,,,,,,,,,,,,,
659,matching_annotaudio_Aditya_2018-08-16_21502300_43,0.95,1.444,L,45.0,0.258,0.272,20.74,0.254,0.257,,,,,,,,,,,,,
660,matching_annotaudio_Aditya_2018-08-16_21502300_44,0.78,1.2168,L,50.0,1.4480000000000002,1.5,38.8,1.4340000000000002,1.443,,,,,,,,,,,,,
661,matching_annotaudio_Aditya_2018-08-16_21502300_45,0.03,0.0696,R,70.0,0.995,1.042,27.75,0.985,0.992,,,,,,,,,,,,,
662,matching_annotaudio_Aditya_2018-08-16_21502300_46,0.92,1.5824,L,55.0,1.426,1.476,40.71,1.405,1.409,,,,,,,,,,,,,
663,matching_annotaudio_Aditya_2018-08-16_21502300_47,0.66,7.5768,L,45.0,6.516,6.537000000000001,29.36,6.572,6.577000000000001,,,,,,,,,,,,,
667,matching_annotaudio_Aditya_2018-08-16_21502300_62,0.79,3.002,L,55.0,2.892,2.9139999999999997,28.55,2.928,2.9389999999999996,,,,,,,,,,,,,
670,matching_annotaudio_Aditya_2018-08-16_21502300_70,0.74,1.8056,L,70.0,0.40399999999999997,0.45399999999999996,23.13,0.389,0.4,,,,,,,,,,,,,
671,matching_annotaudio_Aditya_2018-08-16_21502300_73,0.26,0.6344,L,70.0,0.315,0.337,30.07,0.353,0.361,,,,,,,,,,,,,
672,matching_annotaudio_Aditya_2018-08-16_21502300_74,0.37,2.7528,L,55.0,0.261,0.311,34.23,0.331,0.341,There are very faint myotis in the middle of the recording.,,,,,,,,,,,,
674,matching_annotaudio_Aditya_2018-08-16_21502300_98,0.6,1.7519999999999998,L,45.0,0.315,0.335,30.8,0.298,0.308,,,,,,,,,,,,,
675,matching_annotaudio_Aditya_2018-08-16_21502300_99,0.86,0.86,R,60.0,0.13,0.149,35.89,0.263,0.265,,,,,,,,,,,,,
676,matching_annotaudio_Aditya_2018-08-16_21502300_100,0.78,0.78,L,65.0,0.37799999999999995,0.4,42.0,0.368,0.376,,,,,,,,,,,,,
677,matching_annotaudio_Aditya_2018-08-16_21502300_101,0.33,0.3432,R,65.0,0.295,0.318,33.97,0.34299999999999997,0.348,,,,,,,,,,,,,
678,matching_annotaudio_Aditya_2018-08-16_21502300_102,0.64,0.2304,R,45.0,0.24,0.26,24.88,0.309,0.317,,,,,,,,,,,,,
679,matching_annotaudio_Aditya_2018-08-16_21502300_104,0.36,0.3168,R,55.0,0.364,0.385,46.08,0.348,0.36200000000000004,,,,,,,,,,,,,
681,matching_annotaudio_Aditya_2018-08-16_21502300_106,0.66,0.4752,L,45.0,0.11800000000000001,0.13699999999999998,28.22,0.107,0.114,,,,,,,,,,,,,
682,matching_annotaudio_Aditya_2018-08-16_21502300_108,0.32,0.2432,L,50.0,0.628,0.6459999999999999,26.91,0.457,0.462,,,,,,,,,,,,,
684,matching_annotaudio_Aditya_2018-08-16_21502300_110,0.17,0.1292,L,50.0,0.09300000000000001,0.114,30.33,0.242,0.248,,,,,,,,,,,,,
685,matching_annotaudio_Aditya_2018-08-16_21502300_111,0.35,0.91,L,80.0,0.09699999999999999,0.115,28.84,0.083,0.09300000000000001,,,,,,,,,,,,,
