,start,stop,duration,peak_amplitude,peak_frequency,peak_freq_resolution,rms,terminal_frequency,terminal_frequency_threshold,region_id,audio_file,num_bats,video_annot_id
0,0.0,0.00094,0.00094,0.030242919921875,105319.14893617023,2118.64406779661,0.01151374078070183,104255.31914893618,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_12_76,1,Aditya_2018-08-17_12_76
1,0.00094,0.021124,0.020184,0.087249755859375,108452.23939754261,99.04912836767036,0.039206550900944784,108154.97423701943,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_12_76,1,Aditya_2018-08-17_12_76
2,0.021124,0.023408,0.002284,0.041595458984375,95884.4133099825,874.1258741258741,0.016931873055471384,93257.44308231174,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-17_12_76,1,Aditya_2018-08-17_12_76
0,0.0,0.022584,0.022584,0.171051025390625,104808.71413390011,88.52691218130312,0.08113060884519849,104543.03931987248,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_34_43,2,Aditya_2018-08-17_34_43
1,0.022584,0.025,0.002416,0.058868408203125,100165.5629139073,825.0825082508251,0.026115992970717334,89817.880794702,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_34_43,2,Aditya_2018-08-17_34_43
0,0.000864,0.002736,0.001872,0.044830322265625,105235.04273504273,1063.8297872340424,0.021972795904427595,92948.71794871795,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_34_65,2,Aditya_2018-08-17_34_65
1,0.002736,0.021992,0.019256,0.100006103515625,105785.2098047362,103.82059800664452,0.04847024112680537,105681.34607395098,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_34_65,2,Aditya_2018-08-17_34_65
2,0.021992,0.024352,0.00236,0.051727294921875,103813.5593220339,844.5945945945946,0.02242614726512042,89406.77966101696,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-17_34_65,2,Aditya_2018-08-17_34_65
0,0.001184,0.001664,0.00048,0.020416259765625,104166.66666666667,4098.360655737705,0.010197639492088068,102083.33333333334,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_34_71,1,Aditya_2018-08-17_34_71
1,0.001664,0.022308,0.020644,0.070281982421875,106665.37492733967,96.86168151879117,0.033288335519471496,106423.17380352644,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_34_71,1,Aditya_2018-08-17_34_71
2,0.022308,0.024476,0.002168,0.051666259765625,104243.54243542436,919.1176470588235,0.023030626804334858,90405.9040590406,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-17_34_71,1,Aditya_2018-08-17_34_71
0,0.000188,0.014812,0.014624,0.043548583984375,104075.49234135669,136.6867140513942,0.018348386357055765,103870.3501094092,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_34_72,1,Aditya_2018-08-17_34_72
1,0.014812,0.01796,0.003148,0.032867431640625,90216.01016518426,634.5177664974619,0.013359987457437555,87357.05209656926,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_34_72,1,Aditya_2018-08-17_34_72
0,0.000948,0.002952,0.002004,0.024871826171875,105788.42315369264,996.01593625498,0.012730979645342658,96307.38522954093,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_110,1,Aditya_2018-08-19_0120-0200_110
