,ifm_terminal_frequency,ifm_rms,ifm_region_id,ifm_peak_amplitude,ifm_peak_freq_resolution,ifm_peak_frequency,ifm_start,ifm_duration,ifm_stop,cf_terminal_frequency,cf_rms,cf_region_id,cf_peak_amplitude,cf_peak_freq_resolution,cf_peak_frequency,cf_start,cf_duration,cf_stop,tfm_terminal_frequency,tfm_rms,tfm_region_id,tfm_peak_amplitude,tfm_peak_freq_resolution,tfm_peak_frequency,tfm_start,tfm_duration,tfm_stop,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,terminal_frequency
24,102500.0,0.01511192875950731,fm1,0.028717041015625,4901.960784313726,105000.0,0.001036,0.0004,0.001436,106822.76495630742,0.03774852013062372,cf1,0.080230712890625,112.00716845878135,106878.78108895363,0.001436,0.017852,0.019288,91517.85714285713,0.021959185129079583,fm2,0.047515869140625,1479.2899408284025,107142.85714285713,0.019288,0.001344,0.020632,segment_matching_annotaudio_Aditya_2018-08-16_21502300_47,-10,Aditya_2018-08-16_21502300_47,1,,,,
25,101910.82802547769,0.008948936983834822,fm1,0.017730712890625,3164.556962025317,108280.25477707006,0.000604,0.000628,0.001232,107519.93104934283,0.03351786042344098,cf1,0.067474365234375,107.7121930202499,107627.66645119588,0.001232,0.018563999999999997,0.019796,100308.64197530867,0.026514781655214918,fm2,0.060577392578125,1533.7423312883434,104166.66666666669,0.019796,0.001296,0.021092,segment_matching_annotaudio_Aditya_2018-08-16_21502300_62,-10,Aditya_2018-08-16_21502300_62,1,,,,
26,102303.52303523038,0.007902329504479055,fm1,0.017913818359375,1351.3513513513512,105013.55013550137,0.000292,0.0014759999999999999,0.001768,107182.91630716137,0.017858813728938553,cf1,0.049713134765625,43.13319530710835,107290.76790336498,0.001768,0.046360000000000005,0.048128,102373.88724035607,0.007223728631422702,fm2,0.017791748046875,1479.2899408284025,106083.08605341248,0.048128,0.001348,0.049476,segment_matching_annotaudio_Aditya_2018-08-16_21502300_70,-10,Aditya_2018-08-16_21502300_70,1,,,,
27,101851.85185185184,0.007358956082752678,fm1,0.016082763671875,8928.57142857143,111111.11111111114,0.0009,0.00021600000000000002,0.001116,107654.242998526,0.042183054397967185,cf1,0.092559814453125,105.26315789473685,107759.52832175195,0.001116,0.018996000000000002,0.020112,102586.20689655172,0.02333315512810014,fm2,0.053680419921875,1712.3287671232874,105172.41379310343,0.020112,0.00116,0.021272,segment_matching_annotaudio_Aditya_2018-08-16_21502300_73,-10,Aditya_2018-08-16_21502300_73,1,,,,
28,99780.70175438598,0.010102827384327651,fm1,0.018890380859375,2173.913043478261,103070.1754385965,0.00037200000000000004,0.0009119999999999999,0.001284,104140.36859378943,0.04561489345255234,cf1,0.085723876953125,126.19888944977284,104203.48396869477,0.001284,0.015844,0.017128,97150.25906735752,0.029359678786522424,fm2,0.061981201171875,1288.659793814433,104274.61139896372,0.017128,0.001544,0.018672,segment_matching_annotaudio_Aditya_2018-08-16_21502300_98,-10,Aditya_2018-08-16_21502300_98,1,,,,
29,100461.8937644342,0.045982129543299236,fm1,0.104400634765625,1152.073732718894,106235.56581986144,0.0009720000000000001,0.001732,0.002704,107817.49491426912,0.08768070285787394,cf1,0.172271728515625,145.26438117373618,108108.1081081081,0.002704,0.013763999999999998,0.016468,93936.38170974156,0.03332667447181206,fm2,0.068450927734375,992.0634920634919,106361.82902584493,0.016468,0.002012,0.01848,segment_matching_annotaudio_Aditya_2018-08-16_21502300_99,-10,Aditya_2018-08-16_21502300_99,1,,,,
30,94572.36842105264,0.00951318340388952,fm1,0.017852783203125,1633.9869281045749,101151.3157894737,0.0009519999999999999,0.001216,0.002168,103901.0989010989,0.01933566767677593,cf1,0.044708251953125,54.93298176225006,104368.13186813188,0.002168,0.0364,0.038568,91694.07894736844,0.01449793031928394,fm2,0.037078857421875,819.672131147541,101973.68421052633,0.038568,0.002432,0.040999999999999995,segment_matching_annotaudio_Aditya_2018-08-16_2324_10,-10,Aditya_2018-08-16_2324_10,1,,,,
31,93035.34303534304,0.013603484153439298,fm1,0.034576416015625,1037.344398340249,102390.85239085241,0.0,0.001924,0.001924,103965.40103347563,0.034939504321690566,cf1,0.069000244140625,112.30907457322552,104190.06964727027,0.001924,0.017804,0.019728,88815.78947368421,0.010233861888132028,fm2,0.025054931640625,1091.703056768559,102521.92982456142,0.019728,0.0018239999999999999,0.021552,segment_matching_annotaudio_Aditya_2018-08-16_2324_117,-10,Aditya_2018-08-16_2324_117,1,,,,
32,95833.33333333331,0.009826600131844693,fm1,0.019256591796875,2747.2527472527468,100000.0,0.001516,0.00072,0.002236,102405.99685648654,0.023823420179906945,cf1,0.050262451171875,60.444874274661515,102526.9012211341,0.002236,0.033083999999999995,0.03532,91885.44152744631,0.014059574218744885,fm2,0.041839599609375,1190.4761904761906,102625.2983293556,0.03532,0.0016760000000000002,0.036996,segment_matching_annotaudio_Aditya_2018-08-16_2324_128,-10,Aditya_2018-08-16_2324_128,1,,,,
33,88600.45146726863,0.01150959561102418,fm1,0.031280517578125,1126.1261261261259,92550.7900677201,0.000408,0.001772,0.00218,101565.9220324135,0.02818537059867575,cf1,0.055694580078125,109.45709281961472,101675.4270696452,0.00218,0.018264,0.020444,88582.67716535434,0.013000520715514044,fm2,0.033660888671875,980.3921568627452,100885.82677165355,0.020444,0.002032,0.022476,segment_matching_annotaudio_Aditya_2018-08-16_2324_129,-10,Aditya_2018-08-16_2324_129,1,,,,
