,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_21_hp,0.045696,0.223907470703125,43.7598459653422,107120.97338935574,cf1,0.09342063147465572,0.0026,0.048296,107077.20588235294,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_21_hp,0.000972,0.077362060546875,2049.1803278688526,103909.46502057614,fm2,0.03818092429002598,0.048296,0.049268,101851.85185185187,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_22_hp,0.00112,0.03594970703125,1773.049645390071,105357.14285714286,fm1,0.01980211573034015,0.000644,0.001764,100892.85714285714,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_22_hp,0.05354,0.217193603515625,37.35245779172269,107545.76017930519,cf1,0.09650109079827578,0.001764,0.055304,107527.08255509898,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_22_hp,0.000656,0.026123046875,3012.0481927710844,108231.70731707316,fm2,0.016931627680005678,0.055304,0.05596,103658.53658536584,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_24_hp,0.00104,0.011749267578125,1908.3969465648854,99038.46153846155,fm1,0.006772661003579529,0.000468,0.001508,97115.38461538462,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_24_hp,0.049152,0.05938720703125,40.68348250610252,106058.75651041666,cf1,0.025491329178429643,0.001508,0.05066,106018.06640625,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_24_hp,0.001044,0.0203857421875,1908.3969465648854,106321.83908045977,fm2,0.010420036866899362,0.05066,0.051704,99616.85823754789,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59_hp,0.013456,0.06951904296875,148.54426619132502,105677.76456599287,cf1,0.032608015012612825,0.001252,0.014708,105603.44827586207,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59_hp,0.002516,0.05096435546875,793.6507936507936,104133.54531001589,fm1,0.024440163667880734,0.014708,0.017224,89030.2066772655,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59_hp,0.000888,0.027984619140625,2232.1428571428573,88963.96396396396,cf2,0.012531619853496389,0.017224,0.018112,87837.83783783784,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_60_hp,0.001536,0.0242919921875,1295.3367875647668,101562.5,fm1,0.011451453066640783,0.000556,0.002092,91796.875,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_60_hp,0.034956,0.04534912109375,57.20823798627002,103101.04130907425,cf1,0.023266668906873112,0.002092,0.037048,102872.18217187321,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_60_hp,0.001572,0.0325927734375,1269.0355329949239,101145.03816793894,fm2,0.01427334515766608,0.037048,0.03862,88422.39185750637,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_63_hp,0.001072,0.048797607421875,1851.851851851852,100746.26865671642,fm1,0.03063146895189118,0.001056,0.002128,95149.25373134328,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_63_hp,0.014956,0.106781005859375,133.6898395721925,103236.15940090935,cf1,0.05886194853752612,0.002128,0.017084,103102.43380583046,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_63_hp,0.001692,0.09967041015625,1179.245283018868,101063.82978723405,fm2,0.05004928428971233,0.017084,0.018776,89243.49881796692,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_64_hp,0.000736,0.04010009765625,2688.1720430107525,103260.86956521739,fm1,0.01915618390304021,0.00054,0.001276,99184.78260869565,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_64_hp,0.016196,0.089691162109375,123.45679012345678,103420.59767843912,cf1,0.045922314473422474,0.001276,0.017472,103358.85403803409,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_64_hp,0.001396,0.037689208984375,1428.5714285714287,100286.53295128941,fm2,0.016249609099314652,0.017472,0.018868,92406.87679083095,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_65_hp,0.001732,0.025421142578125,1152.073732718894,103926.09699769055,fm1,0.014041492819812493,0.00086,0.002592,92956.12009237877,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_65_hp,0.013588,0.06890869140625,147.14537963507945,106564.61583750369,cf1,0.03012803434432927,0.002592,0.01618,106270.23844568738,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_65_hp,0.00204,0.04559326171875,976.5625,92647.05882352943,fm2,0.023097931641651148,0.01618,0.01822,88235.29411764706,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_66_hp,0.001696,0.03631591796875,1173.7089201877934,97877.35849056604,fm1,0.014700855331334762,0.000172,0.001868,93750.0,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_66_hp,0.013436,0.066131591796875,148.8095238095238,107174.75439118786,cf1,0.032562717359529474,0.001868,0.015304,107025.90056564455,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_66_hp,0.00186,0.045562744140625,1072.961373390558,106989.24731182796,fm2,0.021497731890422832,0.015304,0.017164,90322.58064516129,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_72_hp,0.018812,0.047882080078125,106.29251700680273,102540.93132043378,cf1,0.02469978550159652,0.0011,0.019912,102434.61620242399,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_72_hp,0.001496,0.029754638671875,1329.787234042553,103609.62566844921,fm1,0.011953022171326988,0.019912,0.021408,94919.78609625669,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_73_hp,0.00086,0.01226806640625,2314.814814814815,106976.74418604652,fm1,0.005838457370083019,0.001052,0.001912,104651.16279069768,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_73_hp,0.040704,0.0426025390625,49.12556494399686,109596.10849056605,cf1,0.02157528073699512,0.001912,0.042616,109448.70283018869,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_73_hp,0.001224,0.0172119140625,1623.3766233766235,107843.13725490196,fm2,0.009614150228918313,0.042616,0.04384,93954.24836601307,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_74_hp,0.000432,0.069793701171875,4545.454545454545,108796.29629629629,fm1,0.037292786276863533,0.000968,0.0014,104166.66666666667,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_74_hp,0.018716,0.1876220703125,106.83760683760684,108997.64907031418,cf1,0.10058646524232094,0.0014,0.020116,108890.78863004915,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_74_hp,0.001916,0.1326904296875,1041.6666666666667,105427.97494780793,fm2,0.06213345098012156,0.020116,0.022032,87160.75156576201,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_79_hp,0.000796,0.03009033203125,2500.0,104271.3567839196,fm1,0.013330659202928813,0.00094,0.001736,100502.51256281408,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_79_hp,0.013572,0.093231201171875,147.3187978786093,106174.47686413206,cf1,0.051249419437098494,0.001736,0.015308,105953.43353964045,-10
